Model,AUC,Accuracy,Presion,Recall,F1 Score
XGBoost,0.9047,0.8,0.6977,0.7692,0.7317
LightGBM,0.9231,0.8545,0.7805,0.8205,0.8
RF,0.9101,0.8364,0.7333,0.8462,0.7857
CatBoost,0.9354,0.8727,0.7778,0.8974,0.8333
ANN,0.8931,0.8273,0.75,0.7692,0.7595
SVM,0.8693,0.8182,0.8276,0.6154,0.7059
KNN,0.8673,0.7727,0.6458,0.7949,0.7126
Naive Bayes,0.8736,0.8,0.6809,0.8205,0.7442
